,0
79,"Perdón, leí peronismo. https://t.co/8nM8xJ8jsN"
80,@luciadalda @PODEMOS Deberían estudiar a Argentina. Atrasan 40 o 50 años. Son un eco bobo del peronismo/kirchnerismo
81,"@alefinocchiaro @alferdez El peronismo, en cualquiera de sus matices, cuando gobierna y les va mal, se convierten en comentaristas de la realidad, como terceros ajenos a las consecuencias de sus actos, imagínense los k!!!"
82,"@Pepe_GilVidal @analiargentina Pepito ,cuánta verdad ,es cierto el peronismo es mentiroso y embaucador ,pero estaría bueno que todo esto lo digas en la TV  por supuesto junto a tus colegas que nos trajeron hasta acá , haciendo del peronismo una religión ,no sean cínicos , ensobrados ,y chupa pijas"
83,"Mi viejo era alfonsinista. Amaba al Che. Aborrecía al peronismo. Renegaba con la idea de que el kirchnerismo era lo mejor que podíamos tener (yo también ojo). Él a don Raúl le perdonó mucho más. Me gustaría tenerlo y decirle ""es por acá, viejo"". Estoy seguro de que acordaríamos."
84,"@Cronistacom Deberían abrir las exportaciones, liberar el mercado, bajar los impuestos y las retenciones, y dejar que el campo y las industrias generen empleo..
La gente no quiere más plata, quiere laburar, quiere dignidad!!

Claro, que sabrá el peronismo de dignidad!?"
85,"@constant_hevia No, Jamás.
Mientras exista el Peronismo, nunca.
El Peronismo le hace la vida imposible a cualquiera que trabaje forzándolo a que emigre, y así tener a la oposición fuera del país.
Y como son buenos explusando gente, se van a quedar por siempre."
86,@Stolbizer Stolbizer considera autoritario al  gobierno porque no adhiere al peronismo. No es ni democrática no republicana su manera de pensar
87,@votecambiemos Xq no tienen PERONISMO…! No tienen Cancer..!! Esa es la razon.!!
88,"Entre el Peronismo y esta mal llamada Democracia.. FUNDIERON A LA ARGENTINA, destruyeron su principal activo... sus habitantes."
89,@LeoManjak @ga_leiva @SergioBerniArg Como les gusta 'apoderarse' d creación d beneficios. Será xq el peronismo solo c dedicó a saquear?¡
90,@laionel09 @LibertadYugo Porque gobierna #peronismo si estuviera cualquier otro opositor te prenden fuego todo desde el aislamiento del año pasado hasta hoy
91,"@01guillemanzo @rinconet Podes escaparte cuando quieras Guillermina! ya sos ingeniera y pasaste x la universidad gratuita del peronismo... Hoy te refrescas estos calores con el aire acondicionado que compraste con peronismo... o sea sos pobre, tonta y vieja"
92,@Piwito2 @LANACION De nuevo 8.224% de inflación 12/2002- 12/2021... Dato mata relato...el peronismo gobernó la mayor parte del tiempo.. háganse cargo
93,"@chadler39 @daniel_max1960 @marianorecalde Capo, el en 50 congelaron 2 años salarios y jubilaciones cuando se acabó el Oro del Central. Lo que no tuvo Australia fue Peronismo."
94,@revisbarcelona ESO SE LLAMA PERONISMO.... https://t.co/YuUjapAXKp
95,"@USAmbassadorARG Somos un país amigo, el peronismo no es comunismo ni socialismo. Pretendemos ser un país con desarrollo y bienestar, ya nos fue muy mal con recetas ortodoxas, espero que comprenda, saludos"
96,"@AlfredoDarrigo creo que en esto estoy de acuerdo con los ""analistas"". Al peronismo no le podes pedir excelencia, son lo peor de lo peor, es lo máximo que van a dar, la villa misera. 
JXC no tiene limite, son la excelencia del pais, salvo excepciones, pero es la reserva moral y técnica del país."
97,Peronismo sin Verso! La industria cerró 2021 con mayor nivel de actividad en 3 años https://t.co/Oy8R7Bg0hU
98,"Amistosa respuesta de los ""compañeros"" del Frente Renovador infiltrados en el peronismo https://t.co/rlkYMtrMlr"
99,"@poeta_leproso @alegrasl @carolinalosada @todonoticias Desde los milicos en adelante....tooooodos los gobiernos nos endeudaron y de los 39 años de democracia gobernó el peronismo 26, saca tus propias conclusiones y dejen de echarle la culpa de todos los males a Macri, vamos muchachos un poco de autocritica seria sano para el país"
0,"@juan_amorin @Lmas94230039 Que juez ""independiente"" del macrismo manejará esta causa ?"
1,"@JorgePujolMed Desde el 2018 Mendoza viene en picada directa y el macrismo radical mendocino sigue dormido.

Sostenido solo con un relato anti K que a algunos mendocinos les gusta, pero se estan llevando puesta la provincia. https://t.co/9RwgVbpW0d"
2,"@julianyosovitch Durante el macrismo, las acciones tuvieron una burbuja y los bonos se contagiaron emitiendo y pagando tasas cada vez más altas cual esquema Ponzi.
Cuando ganó el FDT, fue sentencia a ese Ponzi"
3,"@varelacl @Cardozoel141 Macrismo ""residual"" quiere decir q son una ""basura"""
4,"@RegaCarlos no servís ni para tomar la presión en peatonal Florida.
¿Sabían q durante el macrismo Regazzoni eliminó 160 remedios de cobertura gratuita PAMI amparándose en 1 informe realizado x el Instituto de Rubinstein (q SÓLO analizó 10 de 160 remedios?
 https://t.co/yUCGJuHEE3 https://t.co/p3vENKmoxW https://t.co/FQ3ED7PkCY"
5,"@DiPace4 De cada 100 dólares disponibles el macrismo usó apenas 23 para importar bienes vinculados a la producción y usó 58 de cada 100 dólares a uso financiero-rentista (8 dólares a pagar intereses, 36 a fuga de capitales y 14 al pago de deuda externa)
Fuente: https://t.co/spNu5heVkI 👇 https://t.co/YGeUCory8i"
6,"@todonoticias Después de 4 años de.macrismo , como no va a retroceder!"
7,"@clarincom 1 La dictadura 
2 El macrismo
3 El Menemismo
4 De la Rua
5 Alfonsin 
6 El enano Pinedo"
8,El macrismo no dio tantas vueltas para colarnos los animalitos.
9,@EnzoMorningstar @RIVASDanielJos1 @FernandezAnibal @PierreFabre Imaginate como habrán estado de peor con el macrismo que el futuro presidente Axel 2023-2031 le sacó veinte puntos a la hiena.
10,@gabrielfidel @alevigilmalbec Se necesita macrismo. Ese que permite la competencia aérea y logro que la gente que nunca conoció Mendoza haya viajado en avión.
11,"@jramospadilla Año 2018 la nota, Juan. Imagino que es un ejemplo de como trabajaba el macrismo y su mesa juficial..."
12,"No sé de qué nos admiramos de los dichos de Soledad Acuña, de las ideas sobre la educación de Javier milei, el macrismo siempre apostó a la educación privada denostando lo público. Recordemos los dichos del expresidente delincuente, de caer en la educación pública"
13,"@moderadaLy Malargue no se olvide que a Portezuelo se lo llevo el Viento porque el macrismo radical mendocino se quedo dormido.

A muchos abogados se les pasan los plazos, pero ¿a un Gobierno? https://t.co/FAQfVyaCPn"
14,@spitta1969 La Nacion miente opera macrismo siempre..no importa cuando leas esto....
15,"Argentina: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" https://t.co/JRQ8S6kPvp"
16,"@cburgueno @Ossoreina @perfilcom jaja papu dame 2015 toda la vida,ojala volvieramo a ese año!! ojala el macrismo no hubiera existido nunca...el verso q nos metieron de las obras con el FPARATODOS...obviamente apañado x uds,unos periodistas d la mas baja calaña,anti pueblo..."
17,"@ColegioCiudad No les da vergüenza que Magnetto los maneja como mulos, no les da vergüenza direccionar todas las causas que afectan al macrismo a Comodoro Py?"
18,@fedekiko01 @BizTechia @CarlosMaslaton Ajá y por eso los vota para “sacar al macrismo”
19,"Universidad de Avellaneda: Jubilaciones aumentaron un 4,1% más que con la fórmula del macrismo https://t.co/l5xMiKWbnp https://t.co/L0uBNpN4TX"
20,El macrismo valora tanto a los emprendedores que la totalidad de la cartera de la AFI era cuenta propista. https://t.co/3BnRDEA3Ql
21,"@Soymaudo @Mercede18638350 @LancioniFacundo @MatiasLammens Me incluíste vos en el macrismo... Te cuesta entender que otros, no solamente miran, sino que analizan situaciones. ¡Que tengas un buen día!"
22,"""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" - https://t.co/JVuDcACuuk"
23,"@10_ull @JosedeSanFermi1 @diegowainstein El mismo FMI desmiente ese cuadrito sin fuente que pusiste. El déficit fiscal casi se duplicó con Macri....bah... Cualquiera tu Twit, no se, ya ni siquiera el macrismo niega la fuga, pero siempre hay un descolgado"
24,"@Ani_anadsm @DrDanielGollan Hay que ser malparida para no valorar todo lo que hicieron en Pandemia y siguen haciendo. El macrismo tendrá que rendir cuenta de todo el daño hecho, haciendo marchas, quemando barbijos o no tienes memoria?"
25,"@LPOArg Y si, 4 años de Macrismo...fue un desastre.. https://t.co/6ZAfnCFHpU"
26,"-Con @alferdez, en pandemia, sin tarifazos y debiendo enfrentar el endeudamiento del macrismo, nuevo récord de producción de petróleo y gas.
-Resultado con Macri, lluvia de dólares por deuda, tarifazos y sin pandemia.
No es análisis ni opinión. Lo informa Clarín y La Nación https://t.co/Xm7x4UgYt0"
27,@fargosi Sabes que pasó de malo?. El macrismo y su manga de corruptos estafadores mentirosos.
28,"@Rey_Reich Kirchnerismo y Macrismo son la peste de este país, más populismo que el Macrismo triplicando los planes sociales dejados por el kirchnerismo y aumentando los montos de las asignaciones familiares por hijo y rifando USs para sostener un falso de cambio, es un claro populismo."
29,"@PabloArgentinos @C5N ¡Qué mierda, el macrismo!"
30,"@LibertarioUn @jlespert JAMAS ATACO A MILEI?? CUANDO AFIRMO EN VIVO QUE EL SERIA EL JEFE DE LA LIBERTAD AVANZA POR TENER 3 LEGISLADORES?? O CUANDO CRITICO EL SORTEO DE SUELDO DE MILEI?? TENGO VIDEOS DE MILEI DESTROZANDO AL MACRISMO, Y TAMBIEN VIDEOS DE LARRETA APOYANDO A ESPERT."
31,@sancaz1 @Pepe_GilVidal De vos solo estupideces pagas x el macrismo
32,AF es -lo quiera o no- el garante de la impunidad del macrismo al no mover un dedo y dejar todo como está.
33,"@IgnaJR10 @Bianchism0 Después podemos debatir si el macrismo y bla bla bla , pero no nos olvidemos que Boca hasta la llegada de Macri fue deportivo ganarle a river y salir a festejar por av almirante Brown, y acordemosno que la última copa libertadores la habíamos jugado en el 93/94"
34,@AriGreench @todonoticias Si el pj fuera nazi todo el macrismo estaria ahi boludazo
35,"@AldoGom88936168 Es como el Macrismo, una eterna agonía"
36,Macrismo explicito... https://t.co/WsHoepSqFs
37,@fargosi Y aun así ganó. Con un pueblo que vota así (o que cree que el macrismo es una solución) el único camino para una vida mejor es el que cruza la frontera
38,"Ni de las delincuencias cometidas por Ocaña y su marido,que nunca se hizo cargo y nadie las aclaro..inmundicia cloacal del macrismo feroz .. https://t.co/g6XlwDoicT"
39,"@Frentedetodos__ Si un tipo no te puede comer, seguramente se concentrará en empezar a militar en serio para que no vuelva a ganar nadie del Macrismo"
40,"@todonoticias No podía ser de otra manera con los 4 años que tuvimos de mafia, perversión, choreo y corrupción de Macrismo con gestapo incluida! Destruyeron el país los HdeP en todos sus aspectos! Unas lacras! Macriminal!"
41,"@DanteForesi Tenes razón conozco a cada pelotudo q se ha sostenido con los dientes en la clase media durante el macrismo estar enamorado de Sabasai x su anti peronismo, todo consenso perdido, no entienden razones"
42,"Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" | Entrevista a la diputada del FdT y dirigente sindical de los trabajadores judiciales https://t.co/2PqBVsaCbA a través de @Pagina12"
43,"Que onda con los ""libertarios""?? están sintiendo amor por el Macrismo ¿o me parece a mi?... ¿de que me perdí? 🤣"
44,Hay una vieja cuenta entre Espert y Pichetto porque el último fue autor principal de la campaña de diatribas por la que el macrismo le atribuía al primero su derrota y además fue él quien borocotizó a Assef. La postura de Pichetto en materia de inmigración atrasa.
45,"Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" | Entrevista a la diputada del FdT y dirigente sindical de los trabajadores judiciales https://t.co/amTGfYmlOm a través de @Pagina12"
46,"El macrismo si no te mata te deja pelotudo, aquí tienen la prueba!! https://t.co/DACwyCLVzy"
47,"@cokidella @caroboss1 El macrismo si no te mata te deja pelotudo, aquí tienen la prueba!!"
48,"Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" | Entrevista a la diputada del FdT y dirigente sindical de los trabajadores judiciales https://t.co/bgBok7qVgS vía @Pagina12"
49,@74carlosnob El macrismo y la prensa ejemónica es la MAFIA y el TERRORISMO puro y duro.
50,"#HabraConsecuencias 
#ClarinYLaNacionMienten 
#LarretaEsPeorQueMacri 
👇
Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" https://t.co/g6jfxadJ82 a través de @Pagina12"
51,"Bien hecho Alberto, no te arrastras  como Mauricio Macri frente a la política Imperial de EUA, que utilizo siempre el FMI como un instrumento financiero de dominación, para el Macrismo solo existe el mundo Unipolar, Mauricio se bajaba los pantalones y decía:    
 Les Pertenezco"
52,"@18Tavovargas Y digamos que algunos de los familiares pasaron de un gol echo mierda a una toyota 4x4 en el macrismo 

Digamos todo venden los muertos"
53,"@radiomitre Si estuviese gobernando el macrismo ,esto no pasaría xq el hombre estaría comiendo  polenta todos los dias"
54,"Bravo  Querido Alberto, vos si que Tenes lo que hay que tener el Pueblo te apoya, aunque el Macrismo organice solapadamente con Patricia Bullrich, Cortes de Ruta, Incendios Intencionales, todo cuidadosamente planeado para crear el descontento de la Población o un Golpe de Estado"
55,Hay gente que defiende al peronista/kirchnerista de @MiguelPichetto ???? El macrismo los volvió pelotudos.
56,"La recaudación del impuesto a los bienes personales representaba en el año 2015 un 0,31% del PBI (guarismo similar al de los primeros años del siglo XXI).Tuvo un muy brusco descenso durante el macrismo hasta llegar a sólo 0,10% y llegó al 0,15% en 19 https://t.co/teFIm21YW1"
57,"Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" | Entrevista a la diputada del FdT y dirigente sindical de los trabajadores judiciales https://t.co/iDJl43ovR8"
58,@MiriamG81410303 @guadavazquez Igual es al pedo discutir con un 2021 troll barato del macrismo los troll son las prostitutas del macrismo dos monedas y entregan hasta su dignidad
59,El macrismo te arruina gente https://t.co/2SiXMZSyDp
60,"Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" | Entrevista a la diputada del FdT y dirigente sindical de los trabajadores judiciales https://t.co/Yq1UEMRjRH via @Pagina12"
61,"@Carlos31482838 @NKLinfocito @eldestapeweb Lo siento, por si no te enteraste, los de los canutos afuera sin todos funcionarios del macrismo."
62,"“El macrismo además de perseguir dirigentes políticos también se encargó de perseguir a jueces q no entraban en el esquema mafioso que ellos manejaban, como Arias, Ballesteros y tantos laboralistas q defendieron a la gente” @Vsiley 

#1FMarchamosALaCorte 

https://t.co/2WSYPdG3yV"
63,@jlespert Si si José la decadencia total en el pais de los kisnerista y macrismo
64,"María Teresa García: ""Hay un silencio cómplice que aterra"" | La senadora del FdT cuestiona al macrismo por la falta de avales para el juicio político a Conte Grand https://t.co/W2dlwoa0kI a través de @Pagina12"
65,"""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" - #HabraConsecuencias  https://t.co/91waBgbxYg"
66,"""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" - #HabraConsecuencias https://t.co/91waBgbxYg"
67,@Lupo55 La peor herencia del macrismo es haber facilitado el regreso al poder de la banda de delincuentes peroncho kirchneristas
68,@Mslukwa22 @todonoticias Coherencia me pedis que pasas del pelotudo de milei a defender al macrismo bueno vienen de la misma mierda tal vez esto si te gusta más https://t.co/raIe0Fp3Qr
69,"@tomorrowcountry @jorgehsica @PVacaNarvaja @Kicillofok @alferdez @CFKArgentina En política, para poder cambiar el rumbo, es vital detenerse un instante y mirar hacia atrás para detectar los errores cometidos y poder girar en dirección correcta. El macrismo fue un derroche d equivocaciones. Si no los subsanas estás destinado a errar infinitum"
70,"@Stolbizer Marga, vos tenés menos autoridad moral que actor porno al hablar de virginidad. 
Sos parte del Macrismo."
71,"Vanesa Siley: ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" | Entrevista a la diputada del FdT y dirigente sindical de los trabajadores judiciales https://t.co/gZmiKafKu7 a través de @Pagina12"
72,"¡Qué se vayan TODOS! ¡Y si no, Jury! 👉 ""La mayoría de los jueces de Comodoro Py fue cómplice del armado judicial del macrismo"" Entrevista a Vanesa Siley https://t.co/RX9XCmgb6T"
73,"Si no me mata, el estómago, la gastriris o la depresión, le pongo todos los números al albertismo. Entre el hartazgo y el albertismo, el albertazgo (?), el macrismo (nos) arrasa y termina mágicamente espalda con espalda con el +albertismo como en 2016. No es pregunta."
74,@Carmen80512601 @RAMIROSOSA1971 @theblackh4lo @LucianoCohan Señora deje de ser tan ignorante y.ñ nombre junto al otro obras o políticas para el pueblo por parte del macrismo.
75,"PINEDO, EL MACRISMO GESTAPERO, CLARIN Y LA NAZION SIGUEN LOS DESIHNIOS DESTRUTIVOS DE EEUU CONTRA LA ARGENTINA. GOLPISTAS MANIPULADORES . https://t.co/3NC705OjiX"
76,"@rayuela_ok @alferdez @MunicipioMoron @LucasGhi Los no estuvieron sin clases, IGNORANTE, te enteraste lo que son las CLASES VIRTUALEchicosS?. Con gran esfuerzo  la comunidad educativa, en sólo días, se preparó para ese desafío, ante una panademia inesperada. El mundo lo resolvió de ese modo, sólo el macrismo sigue boludeando"
77,"@C5N Es una vergüenza las jubilaciones en Argentina . Quien puede vivir con 29.000$ ?? Y los políticos sueldos de 400 mil y 500 mil . Que inmundicia todo en este país  tanto el macrismo , como el kirchnerismo . Un verdadero asco !!"
78,"El daño y la gastritis que se bancó mi estómago durante el macrismo está a punto de ceder ante la tibieza de esta resaca macrista llamada albertismo. No doy más.
A los del chat de telegram de ap que les pareció piola chatear 67 veces a las 2 de la mañana, gracias por el insomnio."
79,"@Graciela_Gonz @SergioBerniArg El macrismo maneja esa causa y no encontraron nada ,ni cuando gobernaban"
80,"@Stolbizer Margarita, estás hablando del macrismo?"
81,"@Pepe_GilVidal Otro q se hace el periodista y es un operador politico del macrismo.
Impresentable Gil Vidal.
Usted no informa.
Hace politica."
82,"@luisnaidenoff Es una noticia falsa, lo dijo claramente Ismael Bermúdez en Clarin, puede ser que un senador nacional viva de las chicanas falsas todo el tiempo ? Seamos serios correligionario, es la peor cosa que se les ha pegado algunos radicales del macrismo"
83,"@EnriqueARey @AgriculturaAR @BAProvincia @GobSantaFe @ArmandoERey @aprusfe @CARSFEprensa @CRAprensa @SoleDiezdeTejad @alferdez @omarperotti @Kicillofok @SociedadRural Qué raro que en 4 años de Macrismo Explícito no se hicieran las obras , no ?? Recuerdo las propagandas que decían que habían asfaltado todo , etc"
84,@lean_elInmortal Macrismo explicito.
85,"🔴✅Historia de la deuda
📌Rivadavia: Deuda
📌Rosas: Desendeudamiento
📌Mitre:Deuda
📌Perón: Desendeudamiento 
📌Dictadura: Deuda
📌Alfonsín: Deuda y default
📌Menem: Deuda
📌De La Rúa: Deuda y default 
📌Kirchnerismo: Desendeudamiento  
📌Macrismo: Deuda histórica, default"
86,"@dlaje1 SII lo de AFIP fue un error del celu,pero durante el macrismo no te creas que AFI Y AFIP no se confundieron en más de una ocasión! Así como a Mauricio la división poderes, cuando jugaba al golf con jueces y fiscales.😢"
87,@C5N @Irihauser @juan_amorin Que bronca que gasten tantas horas hablando de esto para que no pase NADA puro bla bla bla y nada y asi con un monton de cosas que hizo el macrismo
88,"@EldiariodeLeuco Claaaa, el macrismo solo quería circo."
89,"@Silberdamian Fue hermoso aquel día de noviembre de 2019; de la nada salió a hablar con el periodismo, una nota que parecía tranquila terminó matando la administración del macrismo en nuestro club, no sé lo esperaban, la jugó de callado, los boludeo y les hizo la cruz para siempre."
90,"Como vas a defender a un tipo que hizo su fortuna con los K, después de décadas se alió al Macrismo y ahora es un Halcón.
Que nefastos somos."
91,"@Zurdopolis1 @eldestapeweb Que me importa 2011, venimos de macrismo y pandemia.
Caída libre en picada y se está revirtiendo, que cosa che."
92,"Tomá nota, kukita doge_doomer.png!!! En ningún lado hay un ""Deudas que dejó el Macrismo"" porque son números inventados por ustedes los ingobernables incogibles https://t.co/6ntaJi52ii"
93,"@Silberdamian Te banco, cada vez más decepcionado de la política en gral, lo que me hace tener más bronca al Macrismo fue que instalaron en Boca un quiosquito político. Nunca más eso!!! La peor lacra"
94,"@norbertogargiu1 @RDFRecl @jlespert @MiguelPichetto No sé a quién votar aún. Pero si sé a quiénes NO votar. Experiencias negativas, nuevos pobres, inflación... El macrismo fue parte del problema en la Argentina. Obviamente no al nivel de los K, pero eso no los hace buenos"
95,El macrismo y el radicalismo también también son una poronga https://t.co/1a38UBuFUT
96,@BarryLyndonista Creo que vamos a tardar en darnos cuenta de lo que significa que haya vuelto culeándose al macrismo. Gracias es poco
97,Que en su re puta vida se les ocurra que el macrismo/angelicismo puede volver a Boca. Román siempre mereció retirarse en Boca con la 10 en la espalda y toda su gente cantando por él. Ni olvido ni perdón a los hijos de mil puta que lo dejaron irse como si nada.
98,"#1FMarchamosALaCorte Bien,una causa pendiente mas q tiene la Corte y el Macrismo, por eso digo q la marcha es por todos los desaguisados de la derecha y respaldo al Gob para q haga lo q tienen q hacer contando con el respaldo del pueblo q quiere justicia para todo y todxs,... https://t.co/TfKN2c59Cd"
99,"@PatoBullrich parece q siguen las ""escuchas"" del macrismo.."
0,Vamos por otro día de 🔟..de “DIEZ en Compañía”.. 10 a 12 hs en Beats Radio 100.5 FM…con VOS y SARA..!! https://t.co/fBgTVf9WAk
1,"#YAQPA
¡Buen martes! 

Acomodate que estamos para alegrarte las mañanas.

De 7 a 10hs con vos😁

📻 FM 89.9
📺 Net TV
💻 https://t.co/PlQLjk3pKP
🔻YouTube, Radio con Vos 89.9
💬https://t.co/jMWZREiueo
📱App, Radio con Vos https://t.co/yjqwDcrz0I"
2,"Qué mejor que unos buenos mates 🧉 para empezar el día? Escuchá a @jairostraccia, de 6 a 7, en Buenas Tardes China, por Radio Con Vos #soychino #soychina #soychine😑 #btchina😑 https://t.co/fzq1KeHexQ"
3,"¡Escuche nuestras propuestas! 

Mañana la candidata @maggiewill estará en Radio Victoria y en Radio Bahía Limón hablando de nuestro Plan legislativo. 

¡El compromiso es con vos! https://t.co/Rb0CIfvXs8"
4,"@jlespert Te falta mundo Espert, vos timbeas con wall street, con capital Axel.
Se triangula a 3 bandas 0 inteligencía.
Canasta de monedas e inversiones productivas, lineas de producción para industrializar.Con 3000 mil y 5000 operarios calificados, para desconcentrar el radio de 30 kmts."
5,"AIRE! Para ""La radio sos vos"" con la conducción de @lagosradio en @Rivadavia630 de 21 a 23hs . Historias, música, la voz de los oyentes y todos los temas de la vida cotidiana. ¡Y también Astrología!

📻 AM 630
📱 APP Radio Rivadavia
💻 https://t.co/tPr17TkPzk https://t.co/mgEdUTHR52"
6,"@MaruMarisa4 De acuerdo con vos. Fué así, y pactado todo de antemano. Podemos repasar declaraciones, tuits, programas de TV y radio, de cada uno de los protagonistas. Está todo archivado."
7,"@mhojman 💬 “Una endemia es cuando vos podes predecir la cantidad de contagios que va a haber en un año, como sucede con la gripe”

☎️ AHORA | @mhojman, médico infectólogo, en #VolverMejores

📲1125809360
📻107.3 AM1050 | https://t.co/da14gj9zrW⚡️ https://t.co/tzXOYot4am"
8,¡Sumate al debate deportivo de la tarde! Ahora te informás y discutís en #TiempoDeJuego con este equipazo de todo el país. ¿Cuál es para vos el tema deportivo del día? Podes ser parte del juego ingresando acá 📻📲 https://t.co/f0fp4hPnln https://t.co/Hhgn9kKkRw
9,"Nos conoces, sabés qué periodismo hacemos y esperamos que te pongas en contacto con nosotros escribiéndonos a Agendasemanal911@gmail.com. Contamos con vos!!! Conducción @fabidabul
#agendasemanal #radio #periodismo #actualidad #deportes #Espectaculos https://t.co/DHumCrELj9"
10,"@Bizco_Chuelo Vos sabes que si.
Es otra generación, les creen a la Tv y a la radio AM.
No se imaginan lo cambiado que esta el mundo.
Me pasa con mi vieja, y es tal cual lo que decís."
11,"Bienvenidos a nuestro programa en vivo, Te queremos acompañar en este momento con nuestra señal en vivo, somos una Radio Cristiana, queremos ORAR por vos, ACOMPAÑARTE y sobre todas las cosas decirte que DIOS TE AMA
WhatsApp 2996721910"
12,@conurvaga Si. Radio con vos los fines de semana se pone un poco gorila.
13,"LA COLUMNA ECONÓMICA DE LA SEMANA. 
Infórmate de lo que está pasando en Argentina y el mundo, acá te dejamos la Columna Económica de nuestro director Isaac Rudnik emitida en ""El Algoritmo Escondido"" por Radio Con Vos 89.9🎙📻
👇 
https://t.co/urVAuvY5wC https://t.co/yU1rlLpaUY"
14,Homenaje Cumple 72 años del FLACO SPINETTA de Radio con Vos: Homenaje Cumple 72 años del ... @radioconvos899 https://t.co/yW9G0BHNqM
15,Gustavo Zorzoli sobre los NNyA expulsados de la escuela durante la pandemia.: Radio Con Vos - ... @radioconvos899 https://t.co/3uehBf9lLb
16,@AbeNiccodemi @babyaetchecopar jajajajaja eso lo escuchas en TN que vacunas te robaron? si a muchos hay que rogarle para que se vacunen no dejes que tenes ni radio 10 ni la nación le laven el cerebro mañana sale TN y te dice que Cristina tiene un pacto con los extraterrestre y seguro vos te lo crees
17,"Aprende a darle vida a diversos textos literarios, con matices, volúmenes, buena dicción e intención 🎙. No te quedes fuera del #Taller en línea de @RadioUNAM &gt; https://t.co/HuKlRsYeGv
#VacúnateYPonte😷 https://t.co/DYYH1a3ohv"
18,"🚨LUNES VERANIEGO en #LIM con @Sietecase, @fedeyanez y @JTartaglione.

Hasta las 13hs sumate al tren de La Inmensa Minoría😁

-Te acompañamos por 
📻 FM 89.9
💻 https://t.co/PlQLjk3pKP
🔻YouTube, Radio con Vos 89.9
💬https://t.co/jMWZREiueo
📱App, Radio con Vos https://t.co/bfhPS1QmMk"
19,"Tenembaum le acaba de hacer un ""chiste"" a Straccia cuando este dijo que usa ""un petardo"" (pastilla) para encender el carbón para la parrilla: ""no te digo que te haces gay, pero de ahí hay un paso"".
Café Fashion, Radio con Vos, lunes a viernes de 7 a 10."
20,"@eldestape_radio @vikingomaldo Con vos, hermano. @vikingomaldo"
21,TROILO RADIO CON VOS : TROILO EN RADIO CON VOS @radioconvos899 https://t.co/2lHmnJbuTb
22,"@arilijalad @LuciaRBosch @GiselleTepper @Juli_Strada @FranciscoPesky @pato_benegas @eldestape_radio Obvio 
Estamos y estuvimos!!!
Que te creíste cheeee.
Que vos te ibas con los yorugas y nosotros, no escuchábamos a @Lantos y toda la barra 
Me extraña araña que siendo mosca no conozca su audiencia @arilijalad 
Fuimos 1°merisimos"
23,"🥳Hacé vibrar tus emociones con la música que te gusta.

😎¡Prendete a la programación que tenemos para vos en la 98.5!

🔊#OnAir en la APP de ABC, desdepy y Radio Box.

#ABC985🎶 Solo Éxitos
📲https://t.co/NIvuytYnBR https://t.co/2WlYDuysJ4"
24,@AndreaR86681513 @tabarefernandez @GrupoMatanza @violetadigeron1 @Roberto94945205 @DOBRYROSA @ReinaDejaVu @Yosoy_Laury @Ale38465309 @balustrinn @tanoproductor @GiselleTepper @pichisaravia @CaletrioCarina @murielricotera @gpcolinas @julireplasexta @LeoCap76 @patricialaura19 @rival_alicia @Carlos31482838 @kitty20198 @lalylaloboob @Griseldnellyga1 @Delpetrolero @valencianob @correaselrata @christianpera12 @RosarinoPeron @TeDiLike1 @Ricky_RFlores @OMonimar @varverimarcelo @FittoBarrio @jdato1960 @Silpasil @su_silvina @GodeGuille @HijodeTotera @nicoesquibel @Pelikanak1 @soniitis2 @PitiAguirre @LaMafiaChori @helgalajman76 @NerinaAndrea @arielb4 @OlgaM_Rosario2 @eldestape_radio Buenos días Andrea y buen día para Vos con #HabraConsecuencias #LaMafiaChoriplanera 😃
25,"🔊ARRANCAMOS #YAQPA

Con Ernesto Tenembaum y el equipo que te alegra las mañanas.

De lunes a viernes de 7 a 10hs siempre a tu lado.

Escuchanos por
📻 FM 89.9
📺 Net TV
💻 https://t.co/PlQLjkl0Cn
🔻YouTube, Radio con Vos 89.9
💬https://t.co/jMWZRE0SPO
📱App, Radio con Vos https://t.co/Vy6sBOyvkJ"
26,"#AHORA  
💻https://t.co/FZLEkHF57R
Mándanos tu WhatsApp al:
📱011-6580-3259 
Contanos que tarea del hogar no te gusta realzar!!!
@radioconvos899 
📻89.9FM Radio Con Vos https://t.co/PYhqb95skh"
